state,county,lat,long
SC,CLARENDON,33.6658,-80.2164
TX,VICTORIA,28.7964,-96.9715
OH,CHAMPAIGN,40.1377,-83.7696
MI,JACKSON,42.2485,-84.4233
KY,FRANKLIN,38.2391,-84.877
MN,GRANT,45.934,-96.0121
NE,GREELEY,41.5675,-98.5212
OH,MORGAN,39.6203,-81.8527
VA,NEW KENT,37.5052,-76.9972
MO,PHELPS,37.8771,-91.7924
TX,FORT BEND,29.5274,-95.7707
MS,PANOLA,34.3639,-89.9505
TN,SEVIER,35.7847,-83.5242
IA,CHICKASAW,43.0601,-92.3176
KY,OHIO,37.4783,-86.849
GA,EVANS,32.1568,-81.8868
IA,CEDAR,41.7723,-91.1324
MO,BUCHANAN,39.6598,-94.8062
IA,WASHINGTON,41.3356,-91.7179
WI,RUSK,45.4751,-91.1331
PA,MIFFLIN,40.6104,-77.6171
WI,WAUPACA,44.4704,-88.9648
TN,SMITH,36.2505,-85.9567
MO,WARREN,38.7646,-91.1607
IN,MADISON,40.1617,-85.7194
MD,HARFORD,39.5616,-76.3194
IN,CLARK,38.4773,-85.7073
MS,TISHOMINGO,34.7404,-88.2393
IA,DAVIS,40.7477,-92.4097
OH,BELMONT,40.0158,-80.9885
AR,CRAWFORD,35.5889,-94.243
IA,MITCHELL,43.3564,-92.7891
AR,PRAIRIE,34.8297,-91.5528
KY,BUTLER,37.2074,-86.6816
OH,PORTAGE,41.1676,-81.1962
GA,JEFF DAVIS,31.8056,-82.637
KS,MIAMI,38.5636,-94.8381
OH,HARDIN,40.6615,-83.6594
AR,WASHINGTON,35.98,-94.2147
AR,JEFFERSON,34.2688,-91.9315
VA,NELSON,37.7874,-78.8867
MO,PLATTE,39.3804,-94.7736
TN,KNOX,35.9932,-83.9371
AR,MISSISSIPPI,35.7639,-90.054
MO,BENTON,38.2948,-93.2879
WI,PIERCE,44.7196,-92.4225
ND,BOWMAN,46.1126,-103.5207
TN,HAMBLEN,36.2172,-83.2666
NE,HOWARD,41.22,-98.5171
GA,WHEELER,32.1171,-82.7246
WI,JACKSON,44.3191,-90.8052
IL,RICHLAND,38.7124,-88.085
KY,GREEN,37.2639,-85.5531
LA,CADDO,32.5797,-93.8821
MD,TALBOT,38.7767,-76.0892
TN,MCMINN,35.4248,-84.6175
OH,CLINTON,39.415,-83.8084
TN,DECATUR,35.603,-88.1088
IA,FAYETTE,42.8625,-91.8443
KS,HARVEY,38.0432,-97.4273
VA,ROCKBRIDGE,37.8146,-79.4475
NE,SALINE,40.524,-97.1408
NE,GARDEN,41.6194,-102.3354
MO,FRANKLIN,38.4112,-91.075
KY,LARUE,37.5457,-85.698
ND,GRANT,46.3583,-101.6397
TX,OCHILTREE,36.2784,-100.8156
GA,COFFEE,31.5492,-82.8493
TN,WASHINGTON,36.2933,-82.4974
WI,PRICE,45.6804,-90.3614
AL,JACKSON,34.7794,-85.9993
IA,HUMBOLDT,42.7764,-94.2073
TN,MARSHALL,35.4689,-86.765
NE,DAKOTA,42.3911,-96.5646
IA,POWESHIEK,41.6864,-92.5315
MN,YELLOW MEDICINE,44.7162,-95.8683
MI,OTSEGO,45.0214,-84.5988
IL,WHITE,38.0875,-88.1795
KY,UNION,37.6584,-87.9453
LA,SAINT MARY,29.7196,-91.4494
OH,WAYNE,40.8289,-81.8883
